gene,H_statistic,p_value,FDR
CLEC2B,459.1948198088952,4.466488747099809e-98,1.9082194198250903e-96
NAPA,458.3079043629939,6.945787593956524e-98,2.9588247500534566e-96
LDLR,458.2526439282889,7.139519901160767e-98,3.0325369458437648e-96
CDKN1B,456.84111104352985,1.4416024464750678e-97,6.105561344117238e-96
GTF2B,456.1799953159808,2.0034511964566026e-97,8.4606841016931e-96
TUBA1C,455.99632581197204,2.195270109582944e-97,9.24410580052542e-96
KIAA1211L,449.92074834525675,4.518383979151694e-96,1.8972034048850696e-94
IGFBP7,449.5644334408224,5.3952724551729775e-96,2.2589235016601375e-94
TBRG1,449.4352996861928,5.753474686228532e-96,2.40203470233598e-94
EIF5,448.3518600430778,9.866260573931753e-96,4.107391546886247e-94
FBXO34,446.3186832316921,2.71447717031565e-95,1.1268540638471823e-93
MPG,444.5998716153452,6.386356373291093e-95,2.643662889666883e-93
MBNL1,442.5699827341598,1.7541206510810244e-94,7.2408124002651644e-93
GPCPD1,441.97809949416035,2.3550855400610223e-94,9.69422008540849e-93
RELT,441.00959016718576,3.813883248202522e-94,1.5655082666431303e-92
DOK2,440.8624244840444,4.103738906042218e-94,1.6797818415961636e-92
MTRNR2L12,440.6169537784263,4.637054708150858e-94,1.8927966488368432e-92
PPP2CA,438.2773458002457,1.4858669809710773e-93,6.0483040942083795e-92
NCL,438.2435343494704,1.5110841209402112e-93,6.1339132155838934e-92
SLC16A3,435.69911120739073,5.361493518540066e-93,2.1703681221184015e-91
SYTL3,435.1891964131614,6.910446874929414e-93,2.789688388573433e-91
ARF4,435.15123181730434,7.042264375451096e-93,2.8350918175236363e-91
HIF1A,434.2975410242851,1.0770602153688236e-92,4.324175450962942e-91
ZNF410,434.1379419735862,1.1661047979745119e-92,4.6688797020542343e-91
RPS14,431.9906847163796,3.39519802178003e-92,1.3556738913123858e-90
HSPA1B,431.80794587614156,3.718462780963481e-92,1.4807161302238818e-90
GPR183,431.04145218327295,5.445495423971247e-92,2.162555283004733e-90
ETF1,430.9527715503957,5.691217795864436e-92,2.254029880556688e-90
POLR2A,430.53258070653504,7.014985708484008e-92,2.770824813264815e-90
CX3CR1,429.96078716860825,9.324287958431813e-92,3.673067627496231e-90
RARA,429.6306313760897,1.0989451843187987e-91,4.3174109198412e-90
CTSH,429.2804356613168,1.308180175682957e-91,5.125687779266859e-90
MAPK1IP1L,429.2134282512307,1.3525413671680217e-91,5.285370985194718e-90
EEF1B2,428.8034798502987,1.6586572336515476e-91,6.464351888811111e-90
IFITM3,428.6477700406819,1.7923037054032745e-91,6.966689257023762e-90
MT-ND1,428.29926534849744,2.1317527745849254e-91,8.264207713959656e-90
RPN1,428.1234483384313,2.326684677977135e-91,8.996104820864627e-90
ERN1,428.0487484723073,2.414810018075879e-91,9.312270001285245e-90
LPXN,427.4089438183981,3.320230096056066e-91,1.2770249823518528e-89
DENND4A,426.7011269122155,4.722285167361323e-91,1.811527927814472e-89
RNF19A,426.19396363166095,6.078091477945989e-91,2.3255444521624158e-89
LINC00623,423.86421478487324,1.9377438788727538e-90,7.39471322942743e-89
NUP98,423.5570051797132,2.257837530507676e-90,8.593857447288178e-89
FTH1,423.13573290431464,2.784457960423631e-90,1.0570841179287017e-88
MTG1,422.8644043572412,3.1869969541688797e-90,1.2067765727749552e-88
G3BP2,422.1922938925702,4.45288018043225e-90,1.6817656227849022e-88
CDC37,421.925856389971,5.084219702321474e-90,1.9152739207665522e-88
PHYKPL,421.32377919819356,6.860353091751956e-90,2.5777336976034145e-88
DDIT3,421.1536004179811,7.466648331615992e-90,2.7983699399360804e-88
