gene,H_statistic,p_value,FDR
TRMT6,6.711388220214013,0.15194903199960977,0.16701672011650764
SNX8,6.710790800709901,0.15198400379000115,0.16704369647323464
C11orf72,6.7017412552846,0.15251464446258747,0.16761541514733524
RHBDD1,6.699366468306448,0.15265417478458274,0.16775724991592875
SPATA24,6.693710992013929,0.15298692989106483,0.1681113924303777
ZSCAN22,6.6929128773953765,0.15303394225844044,0.16815151630331623
DLG1-AS1,6.691439044578238,0.1531207919020887,0.16823540430071027
MARS2,6.684367864385885,0.15353810519246616,0.16868233972616303
ST8SIA6-AS1,6.6823056921058885,0.1536600013920033,0.16880468054154438
MARS,6.6759572512810506,0.15403581472061853,0.16920592856320876
SHANK2-AS1,6.666520019596339,0.15459602387287708,0.16980966358331312
ARHGAP31-AS1,6.663685047580014,0.15476467413036865,0.16998325348324178
CWH43,6.658083136515477,0.1550984197302558,0.17033813691850705
ANO5,6.654675272154357,0.15530177058704323,0.1705497743909956
SLC5A9,6.651777868855074,0.15547485242334957,0.1707281441975038
SYTL5,6.651227218990408,0.15550776636402028,0.17075258064389612
CX3CR1,6.636836851301722,0.1563701703692115,0.17168775834957917
SCN11A,6.633986060058754,0.15654153137691082,0.1718641242075523
DUS2,6.632497977820068,0.15663104777231224,0.1719506163241347
MSTO1,6.625878062099741,0.1570298366123479,0.17237659468302216
CAMK2N2,6.620437117773354,0.15735829400073797,0.17272531489924756
GAD1,6.618896493292792,0.15745141133932977,0.17281568254793703
KANSL1-AS1,6.615268985987533,0.157670860352861,0.17304468756144814
XPC,6.609558382749741,0.15801689109371703,0.17341257585803807
EHF,6.606102136217771,0.15822665536213695,0.17363088099036364
NLRP12,6.600644083999321,0.15855842705838968,0.17398303255423905
EML5,6.599975150940793,0.158599132076697,0.17401577602907634
HS2ST1,6.595072802512314,0.15889773295099335,0.17433146028331123
UNC79,6.588606419865704,0.15929237951939468,0.17475246868233865
PLGRKT,6.587216223146923,0.15937734005639215,0.17483244859611077
EVPL,6.587056327040145,0.1593871145907729,0.17483244859611077
TBX1,6.565714238731576,0.1606966614933115,0.17625682579869686
CLDN3,6.555471688056581,0.16132860280606562,0.17693784108085134
DMRT2,6.523818417640977,0.1632958034321213,0.1790463364986505
