gene,H_statistic,p_value,FDR
MRPS23,1.4567575063627942,0.6922860216050676,0.7448461090946287
PRAM1,1.4532071576509633,0.693111421652442,0.745683125868687
SLC39A11,1.4483834836959566,0.6942335816756773,0.7468392750780302
FAM13A-AS1,1.4426923206368931,0.6955586282478189,0.748213511399228
FGFR1OP,1.4398887331745225,0.6962118003825581,0.7488648726858042
ZNF551,1.4356448428601323,0.6972010622704476,0.7498776276103445
FERMT3,1.434792508308002,0.6973998206375568,0.750040072616153
VIT,1.427942067731925,0.6989982243065614,0.7517076839470316
GPR17,1.4270895363011113,0.6991972594685654,0.7518702791521022
CLPP,1.4217566203457448,0.7004428768195612,0.7531582000613181
TRIM31,1.4177916353486715,0.7013696237241553,0.7541030995723353
FGF9,1.4165984484474192,0.7016486167556688,0.7542822036562226
ZNF385C,1.4165492293997228,0.7016601262907292,0.7542822036562226
AFF2,1.4164634435970411,0.7016801869084992,0.7542822036562226
GAA,1.4121357274463882,0.7026925311358923,0.7553187756878245
PIGV,1.41001822574472,0.7031880927922833,0.7557997583315227
HIGD1B,1.398028840695947,0.7059968469296962,0.7587667678552352
CCDC65,1.396239046027852,0.7064165561432436,0.7591659324635679
PSPN,1.3954294363870225,0.706606445710038,0.7593180786857405
ZSCAN5A,1.3924357786808894,0.7073087809146312,0.7599955905156032
ZBED6CL,1.3923298372383657,0.7073336410328155,0.7599955905156032
CRYM,1.3850154126118603,0.7090509305179984,0.7617886535425802
PCDH11Y,1.3827386791482126,0.7095858222742639,0.7623112162733154
DCAF4L1,1.3798866381351151,0.7102561135390657,0.7629791579207078
MTG2,1.3787708872339108,0.7105184108073938,0.7632087584067392
UFSP1,1.3753217343247486,0.711329511789338,0.7640277889065908
